      Address        Name         Hex         Decimal                       Binary                       Char  
0154              IC3BUF    0x0000        0             00000000 00000000                             '..'     
0156              IC3TMR    0x0000        0             00000000 00000000                             '..'     
0158              IC4CON1   0x0000        0             00000000 00000000                             '..'     
015A              IC4CON2   0x0000        0             00000000 00000000                             '..'     
015C              IC4BUF    0x0000        0             00000000 00000000                             '..'     
015E              IC4TMR    0x0000        0             00000000 00000000                             '..'     
0160              IC5CON1   0x0000        0             00000000 00000000                             '..'     
0162              IC5CON2   0x0000        0             00000000 00000000                             '..'     
0164              IC5BUF    0x0000        0             00000000 00000000                             '..'     
0166              IC5TMR    0x0000        0             00000000 00000000                             '..'     
0168              IC6CON1   0x0000        0             00000000 00000000                             '..'     
016A              IC6CON2   0x0000        0             00000000 00000000                             '..'     
016C              IC6BUF    0x0000        0             00000000 00000000                             '..'     
016E              IC6TMR    0x0000        0             00000000 00000000                             '..'     
0170              IC7CON1   0x0000        0             00000000 00000000                             '..'     
0172              IC7CON2   0x0000        0             00000000 00000000                             '..'     
0174              IC7BUF    0x0000        0             00000000 00000000                             '..'     
0176              IC7TMR    0x0000        0             00000000 00000000                             '..'     
0178              IC8CON1   0x0000        0             00000000 00000000                             '..'     
017A              IC8CON2   0x0000        0             00000000 00000000                             '..'     
017C              IC8BUF    0x0000        0             00000000 00000000                             '..'     
017E              IC8TMR    0x0000        0             00000000 00000000                             '..'     
0180              IC9CON1   0x0000        0             00000000 00000000                             '..'     
0182              IC9CON2   0x0000        0             00000000 00000000                             '..'     
0184              IC9BUF    0x0000        0             00000000 00000000                             '..'     
0186              IC9TMR    0x0000        0             00000000 00000000                             '..'     
0190              OC1CON1   0x0000        0             00000000 00000000                             '..'     
0192              OC1CON2   0x0000        0             00000000 00000000                             '..'     
0194              OC1RS     0x0000        0             00000000 00000000                             '..'     
0196              OC1R      0x0000        0             00000000 00000000                             '..'     
0198              OC1TMR    0x0000        0             00000000 00000000                             '..'     
019A              OC2CON1   0x0000        0             00000000 00000000                             '..'     
019C              OC2CON2   0x0000        0             00000000 00000000                             '..'     
019E              OC2RS     0x0000        0             00000000 00000000                             '..'     
01A0              OC2R      0x0000        0             00000000 00000000                             '..'     
01A2              OC2TMR    0x0000        0             00000000 00000000                             '..'     
01A4              OC3CON1   0x0000        0             00000000 00000000                             '..'     
01A6              OC3CON2   0x0000        0             00000000 00000000                             '..'     
01A8              OC3RS     0x0000        0             00000000 00000000                             '..'     
01AA              OC3R      0x0000        0             00000000 00000000                             '..'     
01AC              OC3TMR    0x0000        0             00000000 00000000                             '..'     
01AE              OC4CON1   0x0000        0             00000000 00000000                             '..'     
01B0              OC4CON2   0x0000        0             00000000 00000000                             '..'     
01B2              OC4RS     0x0000        0             00000000 00000000                             '..'     
01B4              OC4R      0x0000        0             00000000 00000000                             '..'     
01B6              OC4TMR    0x0000        0             00000000 00000000                             '..'     
01B8              OC5CON1   0x0000        0             00000000 00000000                             '..'     
01BA              OC5CON2   0x0000        0             00000000 00000000                             '..'     
01BC              OC5RS     0x0000        0             00000000 00000000                             '..'     
01BE              OC5R      0x0000        0             00000000 00000000                             '..'     
01C0              OC5TMR    0x0000        0             00000000 00000000                             '..'     
01C2              OC6CON1   0x0000        0             00000000 00000000                             '..'     
01C4              OC6CON2   0x0000        0             00000000 00000000                             '..'     
01C6              OC6RS     0x0000        0             00000000 00000000                             '..'     
01C8              OC6R      0x0000        0             00000000 00000000                             '..'     
01CA              OC6TMR    0x0000        0             00000000 00000000                             '..'     
01CC              OC7CON1   0x0000        0             00000000 00000000                             '..'     
01CE              OC7CON2   0x0000        0             00000000 00000000                             '..'     
01D0              OC7RS     0x0000        0             00000000 00000000                             '..'     
01D2              OC7R      0x0000        0             00000000 00000000                             '..'     
01D4              OC7TMR    0x0000        0             00000000 00000000                             '..'     
01D6              OC8CON1   0x0000        0             00000000 00000000                             '..'     
01D8              OC8CON2   0x0000        0             00000000 00000000                             '..'     
